,Date,date_dt,location,count,month_day,year,month,location_name
0,2013-01-01 00:00:00,2013-01-01,1^ALEX,0.0,01-01,2013,1,Alexandra Bridge
1,2013-01-02 00:00:00,2013-01-02,1^ALEX,0.0,01-02,2013,1,Alexandra Bridge
2,2013-01-03 00:00:00,2013-01-03,1^ALEX,0.0,01-03,2013,1,Alexandra Bridge
3,2013-01-04 00:00:00,2013-01-04,1^ALEX,0.0,01-04,2013,1,Alexandra Bridge
4,2013-01-05 00:00:00,2013-01-05,1^ALEX,0.0,01-05,2013,1,Alexandra Bridge
5,2013-01-06 00:00:00,2013-01-06,1^ALEX,1.0,01-06,2013,1,Alexandra Bridge
6,2013-01-07 00:00:00,2013-01-07,1^ALEX,0.0,01-07,2013,1,Alexandra Bridge
7,2013-01-08 00:00:00,2013-01-08,1^ALEX,0.0,01-08,2013,1,Alexandra Bridge
8,2013-01-09 00:00:00,2013-01-09,1^ALEX,0.0,01-09,2013,1,Alexandra Bridge
9,2013-01-10 00:00:00,2013-01-10,1^ALEX,0.0,01-10,2013,1,Alexandra Bridge
10,2013-01-11 00:00:00,2013-01-11,1^ALEX,0.0,01-11,2013,1,Alexandra Bridge
11,2013-01-12 00:00:00,2013-01-12,1^ALEX,0.0,01-12,2013,1,Alexandra Bridge
12,2013-01-13 00:00:00,2013-01-13,1^ALEX,0.0,01-13,2013,1,Alexandra Bridge
13,2013-01-14 00:00:00,2013-01-14,1^ALEX,0.0,01-14,2013,1,Alexandra Bridge
14,2013-01-15 00:00:00,2013-01-15,1^ALEX,0.0,01-15,2013,1,Alexandra Bridge
15,2013-01-16 00:00:00,2013-01-16,1^ALEX,0.0,01-16,2013,1,Alexandra Bridge
16,2013-01-17 00:00:00,2013-01-17,1^ALEX,1.0,01-17,2013,1,Alexandra Bridge
17,2013-01-18 00:00:00,2013-01-18,1^ALEX,1.0,01-18,2013,1,Alexandra Bridge
18,2013-01-19 00:00:00,2013-01-19,1^ALEX,0.0,01-19,2013,1,Alexandra Bridge
19,2013-01-20 00:00:00,2013-01-20,1^ALEX,1.0,01-20,2013,1,Alexandra Bridge
20,2013-01-21 00:00:00,2013-01-21,1^ALEX,0.0,01-21,2013,1,Alexandra Bridge
21,2013-01-22 00:00:00,2013-01-22,1^ALEX,0.0,01-22,2013,1,Alexandra Bridge
22,2013-01-23 00:00:00,2013-01-23,1^ALEX,0.0,01-23,2013,1,Alexandra Bridge
23,2013-01-24 00:00:00,2013-01-24,1^ALEX,0.0,01-24,2013,1,Alexandra Bridge
24,2013-01-25 00:00:00,2013-01-25,1^ALEX,0.0,01-25,2013,1,Alexandra Bridge
25,2013-01-26 00:00:00,2013-01-26,1^ALEX,0.0,01-26,2013,1,Alexandra Bridge
26,2013-01-27 00:00:00,2013-01-27,1^ALEX,0.0,01-27,2013,1,Alexandra Bridge
27,2013-01-28 00:00:00,2013-01-28,1^ALEX,0.0,01-28,2013,1,Alexandra Bridge
28,2013-01-29 00:00:00,2013-01-29,1^ALEX,0.0,01-29,2013,1,Alexandra Bridge
29,2013-01-30 00:00:00,2013-01-30,1^ALEX,5.0,01-30,2013,1,Alexandra Bridge
30,2013-01-31 00:00:00,2013-01-31,1^ALEX,4.0,01-31,2013,1,Alexandra Bridge
31,2013-02-01 00:00:00,2013-02-01,1^ALEX,0.0,02-01,2013,2,Alexandra Bridge
32,2013-02-02 00:00:00,2013-02-02,1^ALEX,1.0,02-02,2013,2,Alexandra Bridge
33,2013-02-03 00:00:00,2013-02-03,1^ALEX,0.0,02-03,2013,2,Alexandra Bridge
34,2013-02-04 00:00:00,2013-02-04,1^ALEX,0.0,02-04,2013,2,Alexandra Bridge
35,2013-02-05 00:00:00,2013-02-05,1^ALEX,0.0,02-05,2013,2,Alexandra Bridge
36,2013-02-06 00:00:00,2013-02-06,1^ALEX,4.0,02-06,2013,2,Alexandra Bridge
